color names,hex values
absolute zero,#0048BA
acid green,#B0BF1A
aero,#7CB9E8
aero blue,#C0E8D5
african violet,#B284BE
alabaster,#EDEAE0
alice blue,#F0F8FF
alloy orange,#C46210
almond,#EFDECD
amaranth,#E52B50
amaranth pink,#F19CBB
amaranth purple,#AB274F
amaranth red,#D3212D
amazon,#3B7A57
amber,#FFBF00
amethyst,#9966CC
android green,#3DDC84
antique brass,#CD9575
antique bronze,#665D1E
antique fuchsia,#915C83
antique ruby,#841B2D
antique white,#FAEBD7
ao,#008000
apple green,#8DB600
apricot,#FBCEB1
aqua,#00FFFF
aquamarine,#7FFFD4
arctic lime,#D0FF14
army green,#4B5320
artichoke,#8F9779
arylide yellow,#E9D66B
ash gray,#B2BEB5
asparagus,#87A96B
atomic tangerine,#FF9966
auburn,#A52A2A
aureolin,#FDEE00
avocado,#568203
azure,#007FFF
baby blue,#89CFF0
baby blue eyes,#A1CAF1
baby pink,#F4C2C2
baby powder,#FEFEFA
baker-miller pink,#FF91AF
banana mania,#FAE7B5
barbie pink,#DA1884
barn red,#7C0A02
battleship grey,#848482
b'dazzled blue,#2E5894
beau blue,#BCD4E6
beaver,#9F8170
beige,#F5F5DC
big dip o'ruby,#9C2542
bisque,#FFE4C4
bistre,#3D2B1F
bistre brown,#967117
bitter lemon,#CAE00D
bitter lime,#BFFF00
bittersweet,#FE6F5E
bittersweet shimmer,#BF4F51
black,#000000
black bean,#3D0C02
black chocolate,#1B1811
black coffee,#3B2F2F
black coral,#54626F
black olive,#3B3C36
black shadows,#BFAFB2
blanched almond,#FFEBCD
blast-off bronze,#A57164
bleu de france,#318CE7
blizzard blue,#ACE5EE
blond,#FAF0BE
blood red,#660000
blue,#0000FF
blue bell,#A2A2D0
blue jeans,#5DADEC
blue sapphire,#126180
blue yonder,#5072A7
blue-gray,#6699CC
blue-green,#0D98BA
bluetiful,#3C69E7
blue-violet,#8A2BE2
blush,#DE5D83
bole,#79443B
bone,#E3DAC9
bottle green,#006A4E
brandy,#87413F
brick red,#CB4154
bright green,#66FF00
bright lilac,#D891EF
bright navy blue,#1974D2
bright yellow ,#FFAA1D
brilliant rose,#FF55A3
brink pink,#FB607F
british racing green,#004225
bronze,#CD7F32
brown,#88540B
brown sugar,#AF6E4D
brunswick green,#1B4D3E
bud green,#7BB661
buff,#FFC680
burgandy ,#800020
burlywood,#DEB887
burnished brown,#A17A74
burnt orange,#CC5500
burnt sienna,#E97451
burnt umber,#8A3324
byzantine,#BD33A4
byzantium,#702963
cadet,#536872
cadet blue,#5F9EA0
cadet grey,#91A3B0
cadmium green,#006B3C
cadmium orange,#ED872D
cadmium red,#E30022
cadmium yellow,#FFF600
café au lait,#A67B5B
café noir,#4B3621
cambridge blue,#A3C1AD
camel,#C19A6B
cameo pink,#EFBBCC
canary,#FFFF99
canary yellow,#FFEF00
candy apple red,#FF0800
candy pink,#E4717A
capri,#00BFFF
caput mortuum,#592720
cardinal,#C41E3A
caribbean green,#00CC99
carmine,#960018
carnation pink,#FFA6C9
carnelian,#B31B1B
carolina blue,#56A0D3
carrot orange,#ED9121
castleton green,#00563F
catawba,#703642
cedar chest,#C95A49
celadon,#ACE1AF
celadon blue,#007BA7
celadon green,#2F847C
celeste,#B2FFFF
celtic blue,#246BCE
cerise,#DE3163
cerulean blue,#2A52BE
cerulean frost,#6D9BC3
cg blue,#007AA5
cg red,#E03C31
champagne,#F7E7CE
champagne pink,#F1DDCF
charcoal,#36454F
charleston green,#232B2B
charm pink,#E68FAC
chartreuse ,#DFFF00
cherry blossom pink,#FFB7C5
chestnut,#954535
chili red,#E23D28
china pink,#DE6FA1
china rose,#A8516E
chinese red,#AA381E
chinese violet,#856088
chinese yellow,#FFB200
chocolate ,#7B3F00
chocolate cosmos,#58111A
chrome yellow,#FFA700
cinereous,#98817B
cinnabar,#E34234
cinnamon satin,#CD607E
citrine,#E4D00A
citron,#9FA91F
claret,#7F1734
cobalt blue,#0047AB
cocoa brown,#D2691E
coffee,#6F4E37
columbia blue,#B9D9EB
congo pink,#F88379
cool grey,#8C92AC
copper,#B87333
copper penny,#AD6F69
copper red,#CB6D51
copper rose,#996666
coquelicot,#FF3800
coral,#FF7F50
cordovan,#893F45
corn,#FBEC5D
cornflower blue,#6495ED
cornsilk,#FFF8DC
cosmic cobalt,#2E2D88
cosmic latte,#FFF8E7
cotton candy,#FFBCD9
coyote brown,#81613C
cream,#FFFDD0
crimson,#DC143C
crystal,#A7D8DE
cultured,#F5F5F5
cyan,#00FFFF
cyber grape,#58427C
cyber yellow,#FFD300
cyclamen,#F56FA1
dark blue-gray,#666699
dark brown,#654321
dark byzantium,#5D3954
dark cornflower blue,#26428B
dark cyan,#008B8B
dark electric blue,#536878
dark goldenrod,#B8860B
dark green,#013220
dark jungle green,#1A2421
dark khaki,#BDB76B
dark lava,#483C32
dark liver,#534B4F
dark magenta,#8B008B
dark moss green,#4A5D23
dark olive green,#556B2F
dark orange,#FF8C00
dark orchid,#9932CC
dark pastel green,#03C03C
dark purple,#301934
dark red,#8B0000
dark salmon,#E9967A
dark sea green,#8FBC8F
dark sienna,#3C1414
dark sky blue,#8CBED6
dark slate blue,#483D8B
dark slate gray,#2F4F4F
dark spring green,#177245
dark turquoise,#00CED1
dark violet,#9400D3
dartmouth green,#00703C
davy's grey,#555555
deep cerise,#DA3287
deep champagne,#FAD6A5
deep chestnut,#B94E48
deep jungle green,#004B49
deep pink,#FF1493
deep saffron,#FF9933
deep space sparkle,#4A646C
deep taupe,#7E5E60
denim,#1560BD
denim blue,#2243B6
desert sand,#EDC9AF
dim gray,#696969
dodger blue,#1E90FF
dogwood rose,#D71868
duke blue,#00009C
dutch white,#EFDFBB
earth yellow,#E1A95F
ebony,#555D50
ecru,#C2B280
eerie black,#1B1B1B
eggplant,#614051
eggshell,#F0EAD6
egyptian blue,#1034A6
eigengrau,#16161D
electric blue,#7DF9FF
electric green,#00FF00
electric indigo,#6F00FF
electric lime,#CCFF00
electric purple,#BF00FF
electric violet,#8F00FF
emerald,#50C878
eminence,#6C3082
english lavender,#B48395
english red,#AB4B52
english vermillion,#CC474B
english violet,#563C5C
erin,#00FF40
eton blue,#96C8A2
falu red,#801818
fandango,#B53389
fandango pink,#DE5285
fashion fuchsia,#F400A1
fawn,#E5AA70
feldgrau,#4D5D53
fern green,#4F7942
field drab,#6C541E
fiery rose,#FF5470
fire engine red,#CE2029
fire opal,#E95C4B
firebrick,#B22222
flame,#E25822
flax,#EEDC82
flirt,#A2006D
floral white,#FFFAF0
fluorescent blue,#15F4EE
forest green ,#5FA777
french bistre,#856D4D
french blue,#0072BB
french fuchsia,#FD3F92
french lilac,#86608E
french lime,#9EFD38
french mauve,#D473D4
french pink,#FD6C9E
french raspberry,#C72C48
french rose,#F64A8A
french sky blue,#77B5FE
french violet,#8806CE
frostbite,#E936A7
fuchsia,#FF00FF
fuchsia purple,#CC397B
fuchsia rose,#C74375
fulvous,#E48400
fuzzy wuzzy,#87421F
gainsboro,#DCDCDC
gamboge,#E49B0F
generic viridian,#007F66
ghost white,#F8F8FF
glaucous,#6082B6
glossy grape,#AB92B3
go green,#00AB66
gold,#A57C00
gold fusion,#85754E
golden brown,#996515
golden poppy,#FCC200
golden yellow,#FFDF00
goldenrod,#DAA520
granite gray,#676767
granny smith apple,#A8E4A0
gray,#808080
green,#00FF00
green lizard,#A7F432
green sheen,#6EAEA1
green-blue,#1164B4
green-cyan,#009966
green-yellow,#ADFF2F
grullo,#A99A86
gunmetal,#2a3439
han blue,#446CCF
han purple,#5218FA
harlequin,#3FFF00
harvest gold,#DA9100
heat wave,#FF7A00
heliotrope,#DF73FF
heliotrope gray,#AA98A9
honeydew,#F0FFF0
honolulu blue,#006DB0
hooker's green,#49796B
hot magenta,#FF1DCE
hot pink,#FF69B4
hunter green,#355E3B
iceberg,#71A6D2
icterine,#FCF75E
illuminating emerald,#319177
imperial red,#ED2939
inchworm,#B2EC5D
independence,#4C516D
india green,#138808
indian red,#CD5C5C
